Country Name,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019
Líbano,4.839,5.129,5.22499990463257,5.358,5.197,0.80001,0.64184,1.12962424755096,1.179,1.224,0.33916,0.26228,0.288515985012054,0.503,0.216,0.04582,0.03061,0.037513829767704,0.136,0.027,0.21854,0.23693,0.264450758695602,0.214,0.166
Macedonia,5.269000095367431,5.121,5.17500019073486,5.185,3.2633932534885433,1.341786506977087,0.78236,1.20789301395416,1.239,0.8143339946699136,0.38966798933982716,0.27668,0.325905978679657,0.394,0.2247519483891129,0.05550389677822576,0.07047,0.0602777935564518,0.052,0.12004274091959052,0.18808548183918106,0.23507,0.25376096367836,0.173,0.173
Macedonia del Norte,5.368203410614338,5.345218182999161,5.322006410508758,5.275197841889236,5.274,4.478,3.682,2.886,2.09,1.294,1.1042,0.9144,0.7245999999999999,0.5347999999999999,0.345,0.2828,0.2206,0.15839999999999999,0.09620000000000001,0.034,0.06420000000000001,0.0944,0.12459999999999999,0.1548,0.185
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933,0.66801,0.46115,0.913020372390747,0.908,0.916,0.19184,0.13684,0.189196765422821,0.221,0.148,0.08124,0.07506,0.0672319754958153,0.049,0.041,0.21333,0.2204,0.208732530474663,0.155,0.169
Malasia,5.77,6.005,6.08400011062622,6.322,5.339,1.07023,0.88025,1.28464603424072,1.258,1.171,0.53024,0.39031,0.402264982461929,0.356,0.508,0.10501,0.09081,0.0656007081270218,0.059,0.024,0.33075,0.41474,0.416608929634094,0.311,0.26
Malaui,4.292,4.156,3.97000002861023,3.587,3.41,0.41134,0.147,0.512568831443787,0.541,0.56,0.43054,0.4143,0.466914653778076,0.531,0.443,0.06977,0.07564,0.0727116540074348,0.08,0.089,0.33128,0.30968,0.287170469760895,0.21,0.218
Malta,6.302,6.488,6.52699995040894,6.627,6.726,1.30203,1.09879,1.48841166496277,1.525,1.52,0.60365,0.54994,0.588767051696777,0.645,0.564,0.13586,0.17554,0.153066068887711,0.142,0.151,0.51752,0.56237,0.574730575084686,0.376,0.375
Malí,3.995,4.073,4.19000005722046,4.447,4.39,1.03526,0.86333,1.28147339820862,1.233,1.105,0.38857,0.27544,0.306613743305206,0.367,0.327,0.12352,0.13647,0.104970246553421,0.056,0.052,0.18798,0.21064,0.183354198932648,0.139,0.153
Marruecos,5.013,5.151,5.2350001335144,5.254,5.208,0.64095,0.38595,0.774864435195923,0.797,0.782,0.41691,0.25646,0.408158332109451,0.46,0.418,0.08546,0.08404,0.0877631828188896,0.074,0.076,0.07172,0.04053,0.0322099551558495,0.026,0.036
Mauricio,5.477,5.648,5.62900018692017,5.891,5.888,0.98521,0.75695,1.20956099033356,1.387,1.402,0.56066,0.46145,0.491247326135635,0.584,0.498,0.07521,0.05203,0.0421815551817417,0.05,0.06,0.37744,0.36951,0.360933750867844,0.245,0.215
